Dlgs,Article,Comma number,Comma content
82/2005,Art. 6,1-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 6,1-ter.,"L'elenco dei domicili digitali delle imprese e dei professionisti è l'Indice nazionale dei domicili digitali (INI-PEC) delle imprese e dei professionisti di cui all'articolo 6-bis.L'elenco dei domicili digitali dei soggetti di cui all'articolo 2, comma 2, lettere a) e b), è l'Indice degli indirizzi della pubblica amministrazione e dei gestori di pubblici servizi, di cui all'articolo 6-ter. L'elenco dei domicili digitali delle persone fisiche e degli altri enti di diritto privato diversi da quelli di cui al primo e al secondo periodo è l'Indice degli indirizzi delle persone fisiche e degli altri enti di diritto privato di cui all'articolo 6-quater."
82/2005,Art. 6,1-quater.,"I soggetti di cui all'articolo 2, comma 2, notificano direttamente presso i domicili digitali di cui all'articolo 3-bis i propri atti, compresi i verbali relativi alle sanzioni amministrative, gli atti impositivi di accertamento e di riscossione e le ingiunzioni di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:regio.decreto:1910-04-14;639~art2"" target=""_blank"">articolo 2 del regio decreto 14 aprile 1910, n. 639</a>, fatte salve le specifiche disposizioni in ambito tributario. La conformità della copia informatica del documento notificato all'originale è attestata dal responsabile del procedimento in conformità a quanto disposto agli articoli 22 e 23-bis."
82/2005,Art. 6,2.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 6,2-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 6-bis,1.,"Al fine di favorire la presentazione di istanze, dichiarazioni e dati, nonché lo scambio di informazioni e documenti tra i soggetti di cui all'articolo 2, comma 2 e le imprese e i professionisti in modalità telematica, è istituito il pubblico elenco denominato Indice nazionale dei domicili digitali (INI-PEC) delle imprese e dei professionisti, presso il Ministero per lo sviluppo economico."
82/2005,Art. 6-bis,2.,"L'Indice nazionale di cui al comma 1 è realizzato a partire dagli elenchi di indirizzi PEC costituiti presso il registro delle imprese e gli ordini o collegi professionali, in attuazione di quanto previsto dall'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2008-11-29;185~art16"" target=""_blank"">articolo 16 del decreto-legge 29 novembre 2008, n. 185</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2009-01-28;2"" target=""_blank"">legge 28 gennaio 2009, n. 2</a>. Nell'Indice nazionale sono inseriti anche i domicili digitali dei professionisti diversi da quelli di cui al primo periodo, iscritti in elenchi o registri detenuti dalle pubbliche amministrazioni e istituiti con legge dello Stato. I domicili digitali inseriti in tale Indice costituiscono mezzo esclusivo di comunicazione e notifica con i soggetti di cui all'articolo 2, comma 2."
82/2005,Art. 6-bis,2-bis.,"L'INI-PEC acquisisce dagli ordini e dai collegi professionali gli attributi qualificati dell'identità digitale ai fini di quanto previsto dal decreto di cui all'articolo 64, comma 2-sexies."
82/2005,Art. 6-bis,3.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 6-bis,4.,"Il Ministero per lo sviluppo economico, al fine del contenimento dei costi e dell'utilizzo razionale delle risorse, sentita l'Agenzia per l'Italia digitale, si avvale per la realizzazione e gestione operativa dell'Indice nazionale di cui al comma 1 delle strutture informatiche delle Camere di commercio deputate alla gestione del registro imprese e ne definisce con proprio decreto, da emanare entro 60 giorni dalla data di entrata in vigore della presente disposizione, le modalità di accesso e di aggiornamento."
82/2005,Art. 6-bis,5.,Nel decreto di cui al comma 4 sono anche definite le modalità e le forme con cui gli ordini e i collegi professionali nonché le pubbliche amministrazioni comunicano all'Indice nazionale di cui al comma 1 tutti gli indirizzi PEC relativi ai professionisti di propria competenza e sono previsti gli strumenti telematici resi disponibili dalle Camere di commercio per il tramite delle proprie strutture informatiche al fine di ottimizzare la raccolta e aggiornamento dei medesimi indirizzi.
82/2005,Art. 6-bis,6.,Dall'attuazione delle disposizioni di cui al presente articolo non devono derivare nuovi o maggiori oneri a carico della finanza pubblica.
82/2005,Art. 6-ter,1.,"Al fine di assicurare la pubblicità dei riferimenti telematici delle pubbliche amministrazioni e dei gestori dei pubblici servizi è istituito il pubblico elenco di fiducia denominato ""Indice dei domicili digitali della pubblica amministrazione e dei gestori di pubblici servizi"", nel quale sono indicati i domicili digitali da utilizzare per le comunicazioni e per lo scambio di informazioni e per l'invio di documenti a tutti gli effetti di legge tra le pubbliche amministrazioni, i gestori di pubblici servizi e i privati."
82/2005,Art. 6-ter,2.,"La realizzazione e la gestione dell'Indice sono affidate all'AgID, che può utilizzare a tal fine elenchi e repertori già formati dalle amministrazioni pubbliche."
82/2005,Art. 6-ter,3.,"Le amministrazioni di cui al comma 1 e i gestori di pubblici servizi aggiornano gli indirizzi e i contenuti dell'Indice tempestivamente e comunque con cadenza almeno semestrale, secondo le indicazioni dell'AgID. La mancata comunicazione degli elementi necessari al completamento dell'Indice e del loro aggiornamento è valutata ai fini della responsabilità dirigenziale e dell'attribuzione della retribuzione di risultato ai dirigenti responsabili."
82/2005,Art. 6-quater,1.,"È istituito il pubblico elenco dei domicili digitali delle persone fisiche, dei professionisti e degli altri enti di diritto privato non tenuti all'iscrizione nell'indice di cui all'articolo 6-bis, nel quale sono indicati i domicili eletti ai sensi dell'articolo 3-bis, comma 1-bis. La realizzazione e la gestione del presente Indice sono affidate all'AgID, che vi provvede avvalendosi delle strutture informatiche delle Camere di commercio già deputate alla gestione dell'elenco di cui all'articolo 6-bis. È fatta salva la facoltà del professionista, non iscritto in albi, registri o elenchi professionali di cui all'articolo 6-bis, di eleggere presso il presente Indice un domicilio digitale professionale e un domicilio digitale personale diverso dal primo."
82/2005,Art. 6-quater,2.,"Per i professionisti iscritti in albi ed elenchi il domicilio digitale è l'indirizzo inserito nell'elenco di cui all'articolo 6-bis, fermo restando il diritto di eleggerne uno diverso ai sensi dell'articolo 3-bis, comma 1-bis. Ai fini dell'inserimento dei domicili dei professionisti nel predetto elenco il Ministero dello sviluppo economico rende disponibili all'AgID, tramite servizi informatici individuati nelle Linee guida, i relativi indirizzi già contenuti nell'elenco di cui all'articolo 6-bis."
82/2005,Art. 6-quater,3.,"AgID provvede costantemente all'aggiornamento e al trasferimento dei domicili digitali delle persone fisiche contenuti nell'elenco di cui al presente articolo nell'ANPR e il Ministero dell'interno provvede costantemente all'aggiornamento e al trasferimento dei domicili digitali delle persone fisiche contenuti nell'ANPR nell'elenco di cui al presente articolo. Le funzioni di aggiornamento e trasferimento dei dati sono svolte con le risorse disponibili a legislazione vigente, senza nuovi o maggiori oneri a carico della finanza pubblica."
82/2005,Art. 6-quinquies,1.,"La consultazione on-line degli elenchi di cui agli articoli 6-bis, 6-ter e 6-quater è consentita a chiunque senza necessità di autenticazione. Gli elenchi sono realizzati in formato aperto."
82/2005,Art. 6-quinquies,2.,"L'estrazione dei domicili digitali dagli elenchi, di cui agli articoli 6-bis, 6-ter e 6-quater, è effettuata secondo le modalità fissate da AgID nelle Linee guida."
82/2005,Art. 6-quinquies,3.,"In assenza di preventiva autorizzazione del titolare dell'indirizzo, è vietato l'utilizzo dei domicili digitali di cui al presente articolo per l'invio di comunicazioni commerciali, come definite dall'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2003-04-09;70~art2-com1-letf"" target=""_blank"">articolo 2, comma 1, lettera f), del decreto legislativo 9 aprile 2003, n. 70</a>."
82/2005,Art. 6-quinquies,4.,"Gli elenchi di cui agli articoli 6-bis, 6-ter e 6-quater contengono le informazioni relative alla elezione, modifica o cessazione del domicilio digitale."
82/2005,Art. 7,01.,"Chiunque ha diritto di fruire dei servizi erogati dai soggetti di cui all'articolo 2, comma 2, in forma digitale e in modo integrato, tramite gli strumenti telematici messi a disposizione dalle pubbliche amministrazioni e il punto di accesso di cui all'articolo 64-bis, anche attraverso dispositivi mobili."
82/2005,Art. 7,2.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 7,3.,"Per i servizi in rete, i soggetti di cui all'articolo 2, comma 2, consentono agli utenti di esprimere la soddisfazione rispetto alla qualità, anche in termini di fruibilità, accessibilità e tempestività, del servizio reso all'utente stesso e pubblicano sui propri siti i dati risultanti, ivi incluse le statistiche di utilizzo."
82/2005,Art. 7,4.,"In caso di violazione degli obblighi di cui al presente articolo, gli utenti, fermo restando il diritto di rivolgersi al difensore civico digitale di cui all'articolo 17, possono agire in giudizio, anche nei termini e con le modalità stabilite nel <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2009-12-20;198"" target=""_blank"">decreto legislativo 20 dicembre 2009, n. 198</a>."
82/2005,Art. 8,1.,"Lo Stato e i soggetti di cui all'articolo 2, comma 2, promuovono iniziative volte a favorire la diffusione della cultura digitale tra i cittadini con particolare riguardo ai minori e alle categorie a rischio di esclusione, anche al fine di favorire lo sviluppo di competenze di informatica giuridica e l'utilizzo dei servizi digitali delle pubbliche amministrazioni con azioni specifiche e concrete, avvalendosi di un insieme di mezzi diversi fra i quali il servizio radiotelevisivo."
82/2005,Art. 8-bis,1.,"I soggetti di cui all'articolo 2, comma 2, favoriscono, in linea con gli obiettivi dell'Agenda digitale europea, la disponibilità di connettività alla rete Internet presso gli uffici pubblici e altri luoghi pubblici, in particolare nei settori scolastico, sanitario e di interesse turistico, anche prevedendo che la porzione di banda non utilizzata dagli stessi uffici sia messa a disposizione degli utenti nel rispetto degli standard di sicurezza fissati dall'Agid."
82/2005,Art. 8-bis,2.,"I soggetti di cui all'articolo 2, comma 2, mettono a disposizione degli utenti connettività a banda larga per l'accesso alla rete Internet nei limiti della banda disponibile e con le modalità determinate dall'AgID."
82/2005,Art. 9,1.,"I soggetti di cui all'articolo 2, comma 2, favoriscono ogni forma di uso delle nuove tecnologie per promuovere una maggiore partecipazione dei cittadini, anche residenti all'estero, al processo democratico e per facilitare l'esercizio dei diritti politici e civili e migliorare la qualità dei propri atti, anche attraverso l'utilizzo, ove previsto e nell'ambito delle risorse disponibili a legislazione vigente, di forme di consultazione preventiva per via telematica sugli schemi di atto da adottare."
82/2005,Art. 12,1.,"Le pubbliche amministrazioni nell'organizzare autonomamente la propria attività utilizzano le tecnologie dell'informazione e della comunicazione per la realizzazione degli obiettivi di efficienza, efficacia, economicità, imparzialità, trasparenza, semplificazione e partecipazione nel rispetto dei principi di uguaglianza e di non discriminazione, nonché per l'effettivo riconoscimento dei diritti dei cittadini e delle imprese di cui al presente Codice in conformità agli obiettivi indicati nel Piano triennale per l'informatica nella pubblica amministrazione di cui all'articolo 14-bis, comma 2, lettera b)."
82/2005,Art. 12,1-bis.,"Gli organi di Governo nell'esercizio delle funzioni di indirizzo politico ed in particolare nell'emanazione delle direttive generali per l'attività amministrativa e per la gestione ai sensi del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art14-com1"" target=""_blank"">comma 1 dell'articolo 14 del decreto legislativo 30 marzo 2001, n. 165</a>, e le amministrazioni pubbliche nella redazione del piano di performance di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2009-10-27;150~art10"" target=""_blank"">articolo 10 del decreto legislativo 27 ottobre 2009, n. 150</a>, dettano disposizioni per l'attuazione delle disposizioni del presente Codice."
82/2005,Art. 12,1-ter.,"I dirigenti rispondono dell'osservanza ed attuazione delle disposizioni di cui al presente Codice ai sensi e nei limiti degli <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art21"" target=""_blank"">articoli 21</a> e <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art55"" target=""_blank"">55 del decreto legislativo 30 marzo 2001, n. 165</a>, ferme restando le eventuali responsabilità penali, civili e contabili previste dalle norme vigenti. L'attuazione delle disposizioni del presente Codice è comunque rilevante ai fini della misurazione e valutazione della performance organizzativa ed individuale dei dirigenti."
82/2005,Art. 12,2.,"Le pubbliche amministrazioni utilizzano, nei rapporti interni, in quelli con altre amministrazioni e con i privati, le tecnologie dell'informazione e della comunicazione, garantendo l'interoperabilità dei sistemi e l'integrazione dei processi di servizio fra le diverse amministrazioni nel rispetto delle Linee guida. (28)"
82/2005,Art. 12,3.,"Le pubbliche amministrazioni operano per assicurare l'uniformità e la graduale integrazione delle modalità di interazione degli utenti con i servizi informatici , ivi comprese le reti di telefonia fissa e mobile in tutte le loro articolazioni, da esse erogati, qualunque sia il canale di erogazione, nel rispetto della autonomia e della specificità di ciascun erogatore di servizi."
82/2005,Art. 12,3-bis.,"I soggetti di cui all'articolo 2, comma 2, favoriscono l'uso da parte dei lavoratori di dispositivi elettronici personali o, se di proprietà dei predetti soggetti, personalizzabili, al fine di ottimizzare la prestazione lavorativa, nel rispetto delle condizioni di sicurezza nell'utilizzo. In caso di uso di dispositivi elettronici personali, i soggetti di cui all'articolo 2, comma 2, nel rispetto della disciplina in materia di trattamento dei dati personali, adottano ogni misura atta a garantire la sicurezza e la protezione delle informazioni e dei dati, tenendo conto delle migliori pratiche e degli standard nazionali, europei e internazionali per la protezione delle proprie reti, nonché a condizione che sia data al lavoratore adeguata informazione sull'uso sicuro dei dispositivi, anche attraverso la diffusione di apposite linee guida, e disciplinando, tra l'altro l'uso di webcam e microfoni , previa informazione alle organizzazioni sindacali."
